"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"BZ1","Buzzer","Buzzer_Beeper:Buzzer_D14mm_H7mm_P10mm","~","1","","",""
"C2,C3","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","2","","",""
"D1,D2","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","2","","",""
"J1","""OLED Display""","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","1","","",""
"J2,J3","Conn_01x01","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~","2","","",""
"R3","2.2k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R4,R5","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"R6,R8","0.2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"R7","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"SW1","SW_SPST","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","~","1","","",""
"U1","TP4056X-435-ESOP8","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","1","","",""
"U2","XIAO-RP2040-SMD","SeeedStudioLibrary:XIAO-RP2040-SMD","","1","","",""
